Year,Month,Ozone 8hr Max,Daily AQI
2008,7,0.06723148148148149,92.02777777777777
2008,8,0.060196581196581195,73.05982905982906
2008,9,0.06043965517241379,72.31896551724138
2008,10,0.04801639344262295,46.868852459016395
2008,11,0.03733333333333333,34.5
2008,12,0.041133333333333334,38.13333333333333
2009,1,0.04187096774193549,38.87096774193548
2009,2,0.04542857142857143,42.17857142857143
2009,3,0.051,49.225806451612904
2009,4,0.04881132075471698,48.264150943396224
2009,5,0.046746835443037975,46.265822784810126
2009,6,0.04801123595505618,50.59550561797753
2009,7,0.054232142857142854,58.4375
2009,8,0.05736885245901639,67.65573770491804
2009,9,0.05641880341880342,64.15384615384616
2009,10,0.043694915254237285,42.96610169491525
2009,11,0.044333333333333336,41.166666666666664
2009,12,0.04483333333333333,41.63333333333333
2010,1,0.045535714285714284,42.214285714285715
2010,2,0.04539285714285714,41.964285714285715
2010,3,0.05267741935483871,51.16129032258065
2010,4,0.05112121212121212,51.27272727272727
2010,5,0.04589130434782609,44.31521739130435
2010,6,0.048595959595959595,49.24242424242424
2010,7,0.057398373983739835,64.8048780487805
2010,8,0.05944736842105263,69.05263157894737
2010,9,0.058037383177570095,67.5607476635514
2010,10,0.04231578947368421,40.45614035087719
2010,11,0.040900000000000006,37.86666666666667
2010,12,0.04123333333333334,38.233333333333334
2011,1,0.0457741935483871,42.41935483870968
2011,2,0.04689285714285714,43.714285714285715
2011,3,0.04620833333333333,42.75
2011,4,0.047558823529411764,45.44117647058823
2011,5,0.047896103896103895,46.77922077922078
2011,6,0.05058888888888889,55.18888888888889
2011,7,0.05441935483870968,59.82258064516129
2011,8,0.05841880341880342,66.76923076923077
2011,9,0.05649549549549549,66.09909909909909
2011,10,0.04365573770491803,40.57377049180328
2011,11,0.04117241379310345,38.172413793103445
2011,12,0.0428,39.8
2012,1,0.04054838709677419,37.61290322580645
2012,2,0.04368965517241379,40.55172413793103
2012,3,0.04896774193548387,47.064516129032256
2012,4,0.04781632653061224,48.12244897959184
2012,5,0.056090225563909774,61.796992481203006
2012,6,0.0550236220472441,61.70866141732284
2012,7,0.06426623376623376,84.99350649350649
2012,8,0.060248366013071895,71.27450980392157
2012,9,0.06275862068965517,77.66896551724138
2012,10,0.05054444444444445,54.44444444444444
2012,11,0.04168333333333333,38.61666666666667
2012,12,0.041559322033898304,38.50847457627118
2013,1,0.043166666666666666,40.129629629629626
2013,2,0.04486274509803921,41.6078431372549
2013,3,0.045677419354838704,42.403225806451616
2013,4,0.0493728813559322,47.25423728813559
2013,5,0.0541864406779661,59.57627118644068
2013,6,0.05478181818181818,62.85454545454545
2013,7,0.06296610169491525,77.35593220338983
2013,8,0.058,63.13333333333333
2013,9,0.05457407407407407,59.351851851851855
2013,10,0.05567213114754098,62.49180327868852
2013,11,0.04378571428571428,40.785714285714285
2013,12,0.04493333333333334,41.766666666666666
2014,1,0.043193548387096777,40.064516129032256
2014,2,0.04182142857142857,39.035714285714285
2014,3,0.04854838709677419,46.67741935483871
2014,4,0.053724137931034484,53.724137931034484
2014,5,0.055732142857142855,61.44642857142857
2014,6,0.06158333333333333,75.8
2014,7,0.058937500000000004,67.54166666666667
2014,8,0.059739130434782614,68.34782608695652
2014,9,0.05823333333333334,68.6
2014,10,0.05455,60.2
2014,11,0.0385,35.56666666666667
2014,12,0.03742307692307692,34.57692307692308
2015,1,0.03696774193548387,34.16129032258065
2015,2,0.03625,33.464285714285715
2015,3,0.045354838709677416,42.193548387096776
2015,4,0.05306896551724138,53.37931034482759
2015,5,0.05263934426229508,53.73770491803279
2015,6,0.06074137931034483,72.46551724137932
2015,7,0.05318032786885246,56.39344262295082
2015,8,0.053967213114754095,56.950819672131146
2015,9,0.05645,61.333333333333336
2015,10,0.05012727272727273,50.70909090909091
2015,11,0.04107692307692308,38.0
2015,12,0.04006896551724138,37.03448275862069
2016,1,0.04157142857142857,38.57142857142857
2016,2,0.04219230769230769,39.15384615384615
2016,3,0.0391,36.1
2016,4,0.045739999999999996,43.3
2016,5,0.047066666666666666,45.65
2016,6,0.055233333333333336,58.96666666666667
2016,7,0.05924193548387097,69.93548387096774
2016,8,0.06546774193548387,85.09677419354838
2016,9,0.060033333333333334,71.23333333333333
2016,10,0.04479411764705882,42.76470588235294
2016,11,0.04227586206896552,39.10344827586207
2016,12,0.03747826086956522,34.65217391304348
2017,1,0.04226666666666667,39.766666666666666
2017,2,0.042678571428571434,39.642857142857146
2017,3,0.04551612903225807,43.0
2017,4,0.04793023255813953,45.69767441860465
2017,5,0.04973333333333333,50.31666666666667
2017,6,0.05235185185185185,54.48148148148148
2017,7,0.06376271186440678,80.30508474576271
2017,8,0.05820689655172413,64.91379310344827
2017,9,0.05541666666666667,59.983333333333334
2017,10,0.052017241379310346,51.12068965517241
2017,11,0.03763333333333333,34.766666666666666
2017,12,0.0433,40.266666666666666
2018,1,0.03893548387096774,36.0
2018,2,0.04292857142857143,39.892857142857146
2018,3,0.04503225806451613,41.70967741935484
2018,4,0.04713559322033899,44.16949152542373
2018,5,0.04838709677419355,46.5
2018,6,0.058084745762711866,65.0
2018,7,0.06371666666666667,82.48333333333333
2018,8,0.06353225806451614,79.2741935483871
2018,9,0.058701754385964915,66.71929824561404
2018,10,0.049704918032786885,48.295081967213115
2018,11,0.04393103448275862,41.03448275862069
2018,12,0.040799999999999996,37.833333333333336
2019,1,0.039645161290322584,36.67741935483871
2019,2,0.044333333333333336,41.18518518518518
2019,3,0.04745161290322581,44.58064516129032
2019,4,0.04613333333333333,42.733333333333334
2019,5,0.04554545454545455,42.77272727272727
2019,6,0.05379661016949153,54.08474576271186
2019,7,0.0545,57.706896551724135
2019,8,0.05991935483870967,69.09677419354838
2019,9,0.0534,55.9
2019,10,0.052890909090909086,54.018181818181816
2019,11,0.04516666666666667,41.86666666666667
2019,12,0.040766666666666666,37.766666666666666
2020,1,0.04158064516129032,38.54838709677419
2020,2,0.04331034482758621,40.172413793103445
2020,3,0.04332258064516129,40.29032258064516
2020,4,0.042508771929824565,39.333333333333336
2020,5,0.049709677419354836,50.45161290322581
2020,6,0.05023333333333333,49.916666666666664
2020,7,0.0589016393442623,65.22950819672131
2020,8,0.06719298245614035,91.36842105263158
2020,9,0.058018181818181816,66.9090909090909
2020,10,0.05631666666666667,62.666666666666664
2020,11,0.0384,35.43333333333333
2020,12,0.041499999999999995,38.5
2021,1,0.040129032258064516,37.16129032258065
2021,2,0.04285714285714286,39.67857142857143
2021,3,0.04616129032258064,42.87096774193548
2021,4,0.050018181818181816,47.872727272727275
2021,5,0.05478333333333333,57.36666666666667
2021,6,0.054086206896551726,57.327586206896555
2021,7,0.06367213114754099,79.19672131147541
2021,8,0.06729032258064516,91.58064516129032
2021,9,0.06187719298245614,75.29824561403508
2021,10,0.050375,52.770833333333336
2021,11,0.03936666666666667,36.46666666666667
2021,12,0.04176666666666666,38.7
2022,1,0.045322580645161294,42.064516129032256
2022,2,0.04739285714285714,43.92857142857143
2022,3,0.045580645161290324,42.29032258064516
2022,4,0.04929310344827586,47.05172413793103
2022,5,0.05267741935483871,54.88709677419355
2022,6,0.05215,53.31666666666667
2022,7,0.055557692307692315,60.55769230769231
2022,8,0.05712727272727273,60.36363636363637
2022,9,0.05430508474576271,59.49152542372882
2022,10,0.05305555555555555,53.907407407407405
2022,11,0.04123333333333334,38.266666666666666
2022,12,0.03916666666666667,36.2
2023,1,0.042741935483870966,39.70967741935484
2023,2,0.04489285714285714,41.714285714285715
2023,3,0.045612903225806446,42.32258064516129
2023,4,0.0476734693877551,44.40816326530612
2023,5,0.04447457627118644,42.30508474576271
2023,6,0.04661666666666667,44.03333333333333
2023,7,0.053016129032258066,54.516129032258064
2023,8,0.05338333333333333,55.31666666666667
2023,9,0.04647457627118644,43.69491525423729
2023,10,0.04331666666666667,40.28333333333333
2023,11,0.043000000000000003,39.86666666666667
2023,12,0.04082758620689655,37.793103448275865
2024,1,0.04206451612903226,38.96774193548387
2024,2,0.04468965517241379,41.51724137931034
2024,3,0.044645161290322574,41.41935483870968
2024,4,0.04195,39.4
2024,5,0.04745,44.75
2024,6,0.050559322033898305,52.08474576271186
2024,7,0.05696491228070175,61.73684210526316
2024,8,0.04888709677419355,48.82258064516129
2024,9,0.05554237288135593,58.644067796610166
2024,10,0.04948333333333333,48.15
2024,11,0.043517241379310345,40.275862068965516
2024,12,0.0431,40.0
2025,1,0.045870967741935484,42.61290322580645
2025,2,0.04634782608695653,42.869565217391305
2025,3,0.04397142857142857,40.68571428571428
2025,4,0.041639999999999996,38.72
2025,5,0.04806896551724137,45.758620689655174
2025,6,0.05060344827586207,49.6551724137931
2025,7,0.04875806451612903,48.24193548387097
2025,8,0.04651612903225806,45.225806451612904
2025,9,0.047344827586206895,45.793103448275865
2025,10,0.03696969696969697,34.27272727272727
2025,11,0.041461538461538466,38.46153846153846
2025,12,0.0409,37.9
